,ROS_5,ROS_5_log10,Standard density,Standard density_log10,PWD_WP_v3,PWD_WP_v3_log10,total_deaths_per_million (June 1st),total_deaths_per_million (June 1st)_log10,WP_Std.Dev,WP_Std.Dev_log10
AL,38,1.579783597,37,1.568201724,566.0919032,2.75288694,131.751096,2.119754238,141,2.149219113
AK,6,0.77815125,1,-0.30103,1072.278304,3.03030752,10.9357592,1.038848941,22.014044,1.34269983
AZ,18,1.255272505,23,1.361727836,2070.477266,3.31607047,126.121128,2.100787847,231,2.36361198
AR,12,1.079181246,22,1.342422681,638.9219592,2.80544781,44.0714753,1.644157589,118,2.071882007
CA,17,1.230448921,97,1.986771734,3408.745718,3.53259461,108.498072,2.035422019,563,2.750508395
CO,11,1.041392685,20,1.301029996,1913.147246,3.2817484,253.180559,2.403430355,202,2.305351369
CT,21,1.322219295,286,2.456366033,1562.489396,3.19381708,1111.83195,3.04603915,599,2.777426822
DE,12,1.079181246,187,2.271841607,1385.098305,3.1414806,377.914977,2.577394104,477,2.678518379
FL,11,1.041392685,145,2.161368002,1704.716753,3.23165223,114.490647,2.058770009,477,2.678518379
GA,25,1.397940009,68,1.832508913,918.8829523,2.96326019,193.73816,2.287215172,251,2.399673721
HI,8,0.903089987,86,1.934498451,3198.145309,3.50489819,12.0067351,1.079424928,547,2.737987326
ID,9,0.954242509,7,0.84509804,1236.1638,3.09207602,46.4448691,1.666937743,103,2.012837225
IL,21,1.322219295,89,1.949390007,2649.546628,3.42317157,430.719468,2.634194502,481,2.682145076
IN,19,1.278753601,71,1.851258349,1006.724483,3.00291063,318.171468,2.502661231,260,2.414973348
IA,11,1.041392685,21,1.322219295,1019.937777,3.00857368,176.8582,2.2476252,145,2.161368002
KS,11,1.041392685,14,1.146128036,1120.02139,3.04922632,74.4856202,1.872072438,124,2.093421685
KY,11,1.041392685,43,1.633468456,837.779467,2.92312971,99.6044249,1.998278632,186,2.269512944
LA,20,1.301029996,41,1.612783857,871.5564794,2.94029554,602.521858,2.779972807,177,2.247973266
ME,10,1,16,1.204119983,566.8188793,2.75344431,66.2097943,1.820922239,94,1.973127854
MD,33,1.51851394,238,2.376576957,2372.144276,3.3751411,422.119596,2.625435514,727,2.861534411
MA,35,1.544068044,336,1.826074803,2556.714131,3.40768217,1012.30261,3.005310355,829,2.918554531
MI,43,1.633468456,67,1.414973348,1069.52175,3.02918962,553.227106,2.742903451,247,2.392696953
MN,18,1.255272505,26,1.414973348,1208.270513,3.08216418,187.955526,2.274055099,173,2.238046103
MS,16,1.204119983,24,1.380211242,506.7442069,2.70478879,248.30746,2.394989768,109,2.037426498
MO,12,1.079181246,34,1.531478917,996.826605,2.99861962,128.066675,2.107436136,183,2.26245109
MT,6,0.77815125,2,0.301029996,803.0612247,2.90474866,15.906016,1.201561416,47,1.672097858
NE,10,1,9,0.954242509,1363.437022,3.13463508,94.6025864,1.97590301,113,2.053078443
NV,14,1.146128036,10,1,3193.913237,3.50432311,136.35673,2.134676578,196,2.292256071
NH,13,1.113943352,57,1.755874856,778.872165,2.89146618,180.185348,2.255719473,201,2.303196057
NJ,27,1.431363764,470,2.672097858,3102.073529,3.49165209,1319.60699,3.120444607,1085,3.035429738
NM,12,1.079181246,6,0.77815125,1310.3565,3.11738947,172.641641,2.237145556,97,1.986771734
NY,68,1.832508913,162,2.209515015,9371.198947,3.97179516,1530.10547,3.184721366,1169,3.067814511
NC,17,1.230448921,79,1.897627091,790.3878309,2.89784025,88.0046346,1.944505544,246,2.390935107
ND,9,0.954242509,4,0.602059991,1138.551483,3.05635267,83.9826681,1.924189668,65,1.812913357
OH,25,1.397940009,109,2.037426498,1134.15414,3.05467208,188.722827,2.275824434,331,2.519827994
OK,17,1.230448921,22,1.342422681,941.4431898,2.97379412,84.4079979,1.926383599,142,2.152288344
OR,12,1.079181246,16,1.204119983,1723.788458,3.23648397,36.512471,1.562441225,170,2.230448921
PA,35,1.544068044,110,2.041392685,1973.207078,3.29517266,435.401093,2.638889515,448,2.651278014
RI,17,1.230448921,394,2.595496222,2083.298998,3.31875161,679.655,2.832288516,769,2.88592634
SC,15,1.176091259,62,1.792391689,689.6145439,2.83860641,97.1116283,1.987271236,201,2.303196057
SD,6,0.77815125,4,0.602059991,928.0856485,2.96758806,70.0835011,1.845615789,63,1.799340549
TN,23,1.361727836,61,1.785329835,756.5159425,2.87881808,52.8305001,1.722884722,209,2.320146286
TX,12,1.079181246,40,1.602059991,1848.233264,3.26675678,58.4565787,1.766833394,279,2.445604203
UT,8,0.903089987,14,1.146128036,2003.987732,3.30189506,35.2468747,1.547120615,177,2.247973266
VT,12,1.079181246,26,1.414973348,614.0170115,2.7881804,88.1425794,1.945185756,122,2.086359831
VA,14,1.146128036,81,1.908485019,1616.981066,3.20870493,163.083229,2.212409302,362,2.558708571
WA,16,1.204119983,41,1.612783857,1712.753437,3.23369485,148.787383,2.172566105,268,2.428134794
WV,10,1,29,1.462397998,525.8459061,2.7208585,42.4072356,1.627439963,122,2.086359831
WI,17,1.230448921,41,1.612783857,1252.921741,3.09792395,102.534438,2.010869757,219,2.340444115
WY,7,0.84509804,2,0.301029996,870.7864474,2.93991166,29.3731933,1.467951164,46,1.662757832
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
